Date,Target,Value
07/30/87,"Forethought, Inc.",14000000
03/31/91,Consumers Software,—
06/29/92,Fox Software,—
02/28/94,Softimage,—
09/27/94,Altamira Software,—
11/01/94,NextBase,—
11/15/94,One Tree Software,—
02/23/95,RenderMorphics,—
07/10/95,Network Managers,—
10/17/95,The Blue Ribbon SoundWorks,—
11/06/95,Netwise,—
12/12/95,Bruce Artwick Organization,—
01/16/96,Vermeer Technologies,133000000
03/06/96,VGA-Animation Software Div[note 1],—
03/12/96,Colusa Software,—
04/16/96,Exos,—
04/23/96,Aspect Software Engineering,14150000
06/11/96,eShop Inc.,—
06/17/96,Electric Gravity,—
11/01/96,Panorama Software Sys-On-Line[note 2],—
02/03/97,NetCarta,20000000
03/03/97,Interse,—
04/30/97,WebTV Networks,425000000
05/07/97,Dimension X,—
06/13/97,Cooper & Peters,—
06/30/97,LinkAge Software,—
08/05/97,VXtreme,—
12/31/97,Hotmail,500000000
02/23/98,Flash Communications,—
04/15/98,Firefly,40000000
04/28/98,MESA Group,—
08/25/98,Valence Research,—
11/06/98,LinkExchange,265000000
01/11/99,FASA Interactive,—
03/04/99,CompareNet,—
03/26/99,Numinous Technologies,—
04/27/99,Interactive Objects-Digital,—
04/30/99,Jump Networks,—
06/07/99,ShadowFactor Software,—
06/15/99,Omnibrowse,—
06/28/99,Intrinsa,58900000
07/01/99,Sendit,125420000
07/07/99,Zoomit,—
07/21/99,STNC,—
09/19/99,Softway Systems,—
10/29/99,Entropic,—
01/07/00,Visio Corporation,1375000000
02/29/00,Peach Networks,—
03/17/00,Travelscape,89750000
04/12/00,Titus Communications,944800000
06/19/00,Bungie,—
07/12/00,NetGames,—
09/13/00,MongoMusic,65000000
09/27/00,Pacific Microsonics,—
03/17/01,Vacationspot,70850000
04/05/01,Great Plains Software,939884000
05/02/01,Intellisol International,—
05/31/01,NCompass Labs,36000000
06/21/01,Maximal Innovative Intelligence,20000000
07/01/01,Yupi,—
03/11/02,Classic Custom Vacations,78000000
05/22/02,Sales Management Systems,—
07/12/02,Navision,1330000000
07/29/02,Mobilocity,—
09/10/02,XDegrees,—
09/24/02,Rare,375000000
12/13/02,Vicinity,95849000
02/25/03,Connectix,—
03/03/03,DCG,—
04/30/03,PlaceWare,200000000
05/27/03,G.A. Sullivan,—
06/10/03,GeCAD Software,—
08/29/03,3DO Co-High Heat Baseball,450000
04/22/04,Encore Bus Solutions-IP Asts,—
04/26/04,ActiveViews,—
07/16/04,Lookout Software,—
12/16/04,GIANT Company Software,—
03/02/05,en'tegrate,—
04/09/05,Groove Networks,—
05/11/05,MessageCast,7000000
05/31/05,Tsinghua-Shenxun-Cert Asts,15000000
06/21/05,Sybari Software,—
08/29/05,Teleo,—
08/31/05,FrontBridge Technologies,—
09/19/05,Alacris,—
11/03/05,media-streams.com,—
11/17/05,5th Finger,3153000
01/19/06,UMT-Software and IP Assets,—
02/13/06,MotionBridge,17858000
02/13/06,Seadragon Software,—
03/07/06,Apptimum,—
03/07/06,Onfolio,—
04/06/06,Lionhead Studios,—
04/26/06,AssetMetrix,—
05/04/06,Massive Incorporated,—
05/04/06,Vexcel,—
05/15/06,DeepMetrix,—
06/06/06,ProClarity,—
06/27/06,iView Multimedia,—
07/17/06,Softricity,—
07/18/06,Winternals Software,—
07/26/06,Whale Communications,—
09/26/06,Gteko,—
10/02/06,DesktopStandard,—
10/12/06,Colloquis,—
03/09/07,Medstory,—
03/26/07,devBiz Business Solutions,—
05/03/07,ScreenTonic,—
05/03/07,Tellme Networks,—
05/09/07,SoftArtisans,—
06/04/07,Engyro,—
06/07/07,Stratature,—
06/29/07,Savvis Inc-Data Centers,200000000
08/13/07,AdECN,—
08/13/07,aQuantive,6333000000
10/02/07,Jellyfish.com,—
10/05/07,Parlano,—
10/29/07,Global Care Solutions-Assets,—
11/01/07,HOB Business Solutions,—
11/15/07,Musiwave,—
12/12/07,Multimap.com,—
01/22/08,Calista Technologies,—
02/07/08,Caligari Corporation,—
02/27/08,YaData,—
03/14/08,Rapt,—
03/19/08,Komoku,5000000
03/31/08,90 Degree Software,—
04/14/08,Farecast,75000000
04/15/08,Danger,500000000
04/25/08,Fast Search & Transfer,1191000000
05/26/08,Kidaro,—
06/04/08,Quadreon,—
06/18/08,Navic Networks,—
06/26/08,Mobicomp,—
08/11/08,Powerset,—
09/16/08,DATAllegro,—
09/28/08,Greenfield Online,486000000
03/01/09,3DV Systems,35000000
05/07/09,BigPark,—
06/01/09,Rosetta Biosoftware,—
09/22/09,Interactive Supercomputing,—
12/10/09,Opalis Software,—
02/02/10,"Sentillion, Inc.",—
10/06/10,"AVIcode, Inc.",—
10/29/10,"Canesta, Inc.",—
05/10/11,Skype Technologies,8500000000
06/07/11,Prodiance,—
11/22/11,Videosurf,100000000
06/25/12,Yammer,1200000000
07/09/12,Perceptive Pixel,—
10/04/12,PhoneFactor,—
10/16/12,StorSimple,—
10/17/12,MarketingPilot,—
01/03/13,id8 Group R2 Studios,—
02/02/13,Pando Networks,—
03/04/13,MetricsHub,—
03/19/13,Netbreeze,—
06/03/13,InRelease,—
09/02/13,Nokia mobile phones unit,7200000000
10/12/13,HLW Software,—
10/25/13,Apiphany,—
01/07/14,Parature,100000000
05/01/14,GreenButton,—
05/01/14,Capptain,—
07/02/14,SyntaxTree,—
07/11/14,InMage,—
08/01/14,Inception Mobile Inc.,—
11/06/14,Mojang,2500000000
11/13/14,Aorato,—
12/02/14,Acompli,—
12/11/14,HockeyApp,—
01/20/15,Equivio,—
01/23/15,Revolution Analytics,—
02/04/15,"Sunrise Atelier, Inc.",100000000
02/12/15,N-trig,200000000
03/26/15,LiveLoop,—
04/14/15,"Datazen Software, Inc.",—
06/02/15,6 Wunderkinder GmbH,—
06/10/15,BlueStripe Software,—
07/16/15,FieldOne Systems LLC,—
07/19/15,Adallom,320000000
08/03/15,"Incent Games, LLC",—
09/03/15,"VoloMetrix, Inc.",—
09/11/15,"Double Labs, Inc.",—
09/28/15,Adxstudio Inc.,—
10/02/15,Telekinesys Research Ltd.,—
11/05/15,"Mobile Data Labs, Inc.",—
11/09/15,Secure Islands Technologies Ltd.,—
12/18/15,Metanautix,—
12/21/15,"Talko, Inc.",—
01/19/16,Teacher Gaming LLC,—
02/03/16,"TouchType, Ltd.",250000000
02/09/16,Groove,—
02/24/16,Xamarin,—
05/03/16,Solair,—
08/08/16,Beam (now known as Mixer),—
08/20/16,Genee,—
12/08/16,LinkedIn,26200000000
01/13/17,Maluuba,—
01/17/17,Simplygon,—
04/10/17,Deis,—
04/18/17,Intentional Software,—
06/08/17,Hexadite,100000000
06/28/17,Cloudyn,50000000
08/15/17,Cycle Computing,—
10/03/17,AltspaceVR,—
11/07/17,SWNG,—
01/29/18,Playfab,—
05/18/18,Semantic Machines,—
06/11/18,Ninja Theory,—
06/11/18,Undead Labs,—
06/11/18,Compulsion Games,—
06/11/18,Playground Games,—
06/18/18,Flipgrid,—
06/20/18,Bonsai,—
09/13/18,Lobe,—
10/09/18,Glint,400000000
10/26/18,GitHub Inc.,7500000000
11/10/18,inXile Entertainment,—
11/10/18,Obsidian Entertainment,—
11/14/18,XOXCO,—
11/19/18,FSLogix,—
