ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real
853092259,"""Cosplay 24"" Beyond the Mask (Canceled)",Photobooks,Photography,USD,2015-01-31,27000,12/02/14,1258,canceled,28,US,1258,1258,27000
853099594,The Cakepop Factory!  Lets Make History,Restaurants,Food,USD,2014-06-26,35000,05/22/14,2046,failed,6,US,2046,2046,35000
853103052,CardRack,Product Design,Design,USD,2016-06-18,500,06/03/16,25,failed,3,US,25,25,500
853103516,Gaomonteras (Canceled),Video Games,Games,USD,2014-09-21,7300,08/12/14,403,canceled,24,US,403,403,7300
853105591,"Kahiau's Cafe - Offering Organic,Vegan Pastries and Food",Vegan,Food,USD,2017-03-03,10000,01/31/17,2015,failed,41,US,970,2015,10000
85311192,The Lounge: A Mafia Game,Tabletop Games,Games,USD,2014-10-18,23000,09/15/14,12673.02,failed,430,US,12673.02,12673,23000
853127780,Ja`Cor BOSS Quick Wallet: No Pockets Required (Redesigned),Fashion,Fashion,USD,2013-09-25,1500,07/27/13,58,canceled,3,US,58,58,1500
853128780,Humpty Dumpty Film,Documentary,Film & Video,GBP,2017-07-08,10000,06/07/17,17278.99,successful,212,GB,7817.45,22418,12974.04
85312975,Served!,Restaurants,Food,USD,2014-09-26,5000,07/28/14,158,failed,10,US,158,158,5000
85313727,Back to Boone: Editorial Cartoons by Andrew David Cox,Mixed Media,Art,USD,2015-08-16,600,07/26/15,654,successful,14,US,654,654,600
853147703,Streaming Kit to start a Let's Play and Twitch Channel.,Video Games,Games,USD,2014-09-14,800,07/16/14,11,failed,3,US,11,11,800
853151793,RoShamBo Rush - Board Game (Canceled),Tabletop Games,Games,USD,2013-08-23,35000,07/14/13,280,canceled,6,US,280,280,35000
85316738,Exitus Safety Network,Apps,Technology,USD,2016-12-03,50000,11/03/16,3869,failed,26,US,2220,3869,50000
853173415,Skyline the Build-Your-Own-City Card Game,Playing Cards,Games,USD,2017-04-29,25119,03/30/17,53,failed,5,US,25,53,25119
85318151,2nd Floor Rear 2014,Public Art,Art,USD,2014-01-18,2000,01/04/14,970,failed,26,US,970,970,2000
853181650,darSque Tinted Mirrorz (Canceled),Fashion,Fashion,SEK,2014-12-17,55000,11/17/14,145,canceled,1,SE,19.61,19,7137.11
853182709,"Publishing ""The Book of Jacob""",Poetry,Publishing,USD,2013-10-06,2000,09/12/13,2190,successful,47,US,2190,2190,2000
853195095,"Kababish Tikka Masala- Dip, Dress, Or Entree !",Small Batch,Food,USD,2017-03-19,25000,02/07/17,211,failed,9,US,30,211,25000
85320333,Love To Celebrate,Events,Food,GBP,2015-01-16,3000,12/17/14,0,failed,0,GB,0,0,4552.08
853213536,bodiBase-The Ultimate in female solution underwear - Round 2,Fashion,Fashion,GBP,2014-06-16,9000,05/12/14,290,failed,11,GB,488.7,494,15334.55
85321503,"COARSE PICKS | Guitar picks with gritty, raspy tone",Product Design,Design,USD,2014-12-19,4247,11/19/14,6894,successful,318,US,6894,6894,4247
853215599,Creature Seeker Sketches and Sculpts,Art,Art,USD,2015-05-04,800,04/08/15,1275,successful,18,US,1275,1275,800
85321562,Where is my Lucky Coin? (http://www.lizb.com.hk/games),Games,Games,AUD,2017-01-03,20000,11/27/16,0,failed,0,AU,0,0,14673.51
853215859,Armadillo Run: The Iron Phoenix,Publishing,Publishing,USD,2016-09-16,350,08/02/16,2002,successful,63,US,0,2002,350
853226760,"""Words, Thoughts & Feels"": A Musical Journey",Jazz,Music,USD,2012-12-25,6000,10/26/12,256,failed,6,US,256,256,6000
853231222,Days of Knights Documentary Film,Documentary,Film & Video,USD,2014-01-01,15000,11/22/13,5145,failed,85,US,5145,5145,15000
853238722,Tactical Intervention Reloaded,Video Games,Games,EUR,2017-11-30,10700,10/31/17,3598.56,failed,57,DE,1209.7,4277,12716.9
853239543,BICYCLE DAY Lives!!!!,Film & Video,Film & Video,USD,2013-03-28,5000,02/26/13,5316,successful,81,US,5316,5316,5000
853252641,"""22"" - a thriller genre movie",Narrative Film,Film & Video,USD,2012-01-02,10000,11/03/11,0,failed,0,US,0,0,10000
853253125,The Scribers - Knives are out (Stick or Twist) E.P,Indie Rock,Music,GBP,2013-07-31,1500,06/21/13,1556,successful,27,GB,2406.28,2358,2272.87
853253478,Bridget and the Squares Full Length LP,Rock,Music,USD,2012-03-09,4000,02/08/12,4525,successful,100,US,4525,4525,4000
853256497,The Adventures of Glippy the Gnome Vol 1: The Epic Journey,Children's Books,Publishing,USD,2014-05-08,13000,04/02/14,14550,successful,148,US,14550,14550,13000
853262222,2018 Grow the Game Challenge,Games,Games,USD,2018-01-06,1000,12/06/17,125,canceled,5,US,40,125,1000
853263590,Artist in Residence - Badlands National Park,Photography,Photography,USD,2012-02-18,500,01/26/12,1224.66,successful,40,US,1224.66,1225,500
853278660,La Boheme (Canceled),Apparel,Fashion,USD,2015-10-03,55000,08/05/15,0,canceled,0,US,0,0,55000
853282209,Ditch the Dork,Software,Technology,USD,2012-11-15,400,10/16/12,4664.61,successful,500,US,4664.61,4665,400
853283650,Josh (Canceled),Documentary,Film & Video,USD,2010-09-13,10000,07/13/10,0,canceled,0,US,0,0,10000
853286935,The Blade : Messenger Bag/ Backpack/ Briefcase (Canceled),Fashion,Fashion,USD,2014-04-04,35000,03/11/14,14679,canceled,79,US,14679,14679,35000
853295895,Inspiring Positive Change and Providing Equal Opportunity,Webseries,Film & Video,GBP,2016-05-02,15000,04/02/16,1046,failed,39,GB,1499.69,1516,21738.19
853296658,Raytoons Comics Presents #1 (AD SPACE AVAILABLE!),Comics,Comics,USD,2013-01-14,400,01/02/13,122,failed,9,US,122,122,400
853297491,U Dance by the Sea,Performances,Dance,GBP,2015-05-31,950,05/01/15,965.5,successful,44,GB,1489.86,1480,1456.47
853303129,The MONSTERS ATTACK Collection! Classic Horror Comics,Graphic Novels,Comics,USD,2016-06-21,1000,06/06/16,9001,successful,119,US,9001,9001,1000
853303366,The Ice Cream Bike,Food,Food,CAD,2015-07-08,8000,06/08/15,0,failed,0,CA,0,0,6296.24
853307931,Where Do Bananas Come From? A Book of Fruits,Children's Books,Publishing,USD,2017-04-01,10000,03/01/17,11527,successful,196,US,1360,11527,10000
